,city,lat,temp,humidity,clouds,wind,date
161,nouadhibou,20.52,77.79,29,0,7.38,1538096150
162,broome,59.79,50,61,92,21.92,1538094000
163,hualmay,50.29,53.04,73,0,3.58,1538096151
164,khani,50.7,62.6,67,40,8.05,1538092800
165,iroquois falls,13.07,77,94,75,18.34,1538094900
166,abu samrah,-29.95,53.6,87,75,3.36,1538092800
167,kaeo,-16.92,84.2,45,40,17.22,1538094600
168,chicama,-20.58,68.34,100,68,5.48,1538096152
169,ikorodu,45.6,59.99,87,0,3.36,1538094600
170,oksfjord,42.44,29.19,76,0,1.9,1538096152
171,yingcheng,60.75,48.09,42,64,2.57,1538096152
172,gunjur,32.3,77,73,40,9.17,1538092500
173,navalmoral de la mata,45.76,50.85,87,0,5.82,1538094000
174,ambilobe,33.93,66.2,72,20,5.82,1538092800
175,berlevag,68.06,44.04,68,92,8.05,1538096153
176,port augusta,66.15,25.05,83,0,10.74,1538096153
177,marshall,-20.73,87.8,16,0,13.87,1538094600
178,camajuani,-3.9,80.6,78,20,16.11,1538092800
179,phan rang,-34.61,49.08,95,0,3.47,1538096007
180,sitka,-28.95,68.43,88,0,3.91,1538096155
181,atar,68.05,39.9,97,92,12.75,1538096155
182,gravdal,4.42,77.88,100,92,9.95,1538096155
183,talakan,-2.92,78.42,78,0,17,1538096155
184,port hardy,51.57,51.06,90,24,9.17,1538096156
185,oistins,42.5,60.75,66,40,8.05,1538094960
186,coquimbo,-40.81,47.01,92,92,12.19,1538096156
187,cairns,15.74,85.66,74,75,2.13,1538091960
188,nosy varika,39.84,42.87,99,0,2.91,1538096156
189,souillac,4.94,80.6,88,0,4.7,1538094600
190,dukat,3.66,75.2,73,75,8.05,1538092800
191,haines junction,-46.13,50.25,95,20,11.97,1538096157
192,hamilton,5.2,75.54,90,56,3.91,1538096157
193,arona,-1.67,56.91,96,48,3.13,1538096158
194,katsuura,53.13,48.09,79,0,2.57,1538096158
195,bilibino,29.94,75.11,100,20,3.36,1538093700
196,pangnirtung,-34.72,56.46,89,36,15.21,1538096158
197,da nang,-13.79,71.31,46,0,3.36,1538096158
198,mount isa,64.25,40.98,100,0,7.49,1538096159
199,aquiraz,46.91,51.39,61,1,2.46,1538092560
200,san rafael,63.29,43.32,86,80,3.58,1538096159
201,codrington,66.94,30.63,100,92,2.68,1538096159
202,ostrovnoy,-31.43,68,60,0,6.93,1538092800
203,tabou,-12.97,65.82,47,0,5.14,1538096159
